2024-04-10 at 13:28:22 | INFO | function starts
2024-04-10 at 13:28:22 | INFO | function starts
2024-04-10 at 13:28:22 | INFO | function starts
2024-04-10 at 13:28:34 | INFO | function starts
2024-04-10 at 13:28:34 | INFO | function starts
2024-04-10 at 13:28:34 | INFO | function starts
2024-04-10 at 13:28:37 | INFO | function starts
2024-04-10 at 13:28:37 | INFO | function starts
2024-04-10 at 13:28:37 | INFO | function starts
2024-04-10 at 13:28:42 | INFO | function starts
2024-04-10 at 13:28:42 | INFO | function starts
2024-04-10 at 13:28:42 | INFO | function starts
2024-04-21 at 19:54:30 | INFO | Unzipping files
2024-04-21 at 19:54:30 | INFO | Unzipping files
2024-04-21 at 19:54:30 | INFO | Unzipping files
2024-04-21 at 19:56:45 | ERROR | error while ingestion, HTTPConnectionPool(host='10.50.50.230', port=5010): Max retries exceeded with url: /ingestion (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7ea6e05c7160>, 'Connection to 10.50.50.230 timed out. (connect timeout=None)'))
2024-04-21 at 19:56:45 | ERROR | error while ingestion, HTTPConnectionPool(host='10.50.50.230', port=5010): Max retries exceeded with url: /ingestion (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7ea6e05c7160>, 'Connection to 10.50.50.230 timed out. (connect timeout=None)'))
2024-04-21 at 19:56:45 | ERROR | error while ingestion, HTTPConnectionPool(host='10.50.50.230', port=5010): Max retries exceeded with url: /ingestion (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7ea6e05c7160>, 'Connection to 10.50.50.230 timed out. (connect timeout=None)'))
2024-04-21 at 19:57:30 | INFO | Unzipping files
2024-04-21 at 19:57:30 | INFO | Unzipping files
2024-04-21 at 19:57:30 | INFO | Unzipping files
2024-04-21 at 19:59:45 | INFO | Unzipping files
2024-04-21 at 19:59:45 | INFO | Unzipping files
2024-04-21 at 19:59:45 | INFO | Unzipping files
2024-04-21 at 20:00:10 | INFO | Unzipping files
2024-04-21 at 20:00:10 | INFO | Unzipping files
2024-04-21 at 20:00:10 | INFO | Unzipping files
2024-04-21 at 20:00:58 | INFO | Unzipping files
2024-04-21 at 20:00:58 | INFO | Unzipping files
2024-04-21 at 20:00:58 | INFO | Unzipping files
2024-04-21 at 20:01:31 | INFO | Unzipping files
2024-04-21 at 20:01:31 | INFO | Unzipping files
2024-04-21 at 20:01:31 | INFO | Unzipping files
2024-04-21 at 20:02:11 | INFO | Unzipping files
2024-04-21 at 20:02:11 | INFO | Unzipping files
2024-04-21 at 20:02:11 | INFO | Unzipping files
2024-04-21 at 20:02:46 | INFO | Unzipping files
2024-04-21 at 20:02:46 | INFO | Unzipping files
2024-04-21 at 20:02:46 | INFO | Unzipping files
2024-04-21 at 20:03:29 | INFO | Unzipping files
2024-04-21 at 20:03:29 | INFO | Unzipping files
2024-04-21 at 20:03:29 | INFO | Unzipping files
2024-04-21 at 20:04:15 | INFO | Unzipping files
2024-04-21 at 20:04:15 | INFO | Unzipping files
2024-04-21 at 20:04:15 | INFO | Unzipping files
2024-04-21 at 20:04:16 | ERROR | error while ingestion, HTTPConnectionPool(host='0.0.0.0', port=5011): Max retries exceeded with url: /ingestion (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x78f4c2d431f0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-04-21 at 20:04:16 | ERROR | error while ingestion, HTTPConnectionPool(host='0.0.0.0', port=5011): Max retries exceeded with url: /ingestion (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x78f4c2d431f0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-04-21 at 20:04:16 | ERROR | error while ingestion, HTTPConnectionPool(host='0.0.0.0', port=5011): Max retries exceeded with url: /ingestion (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x78f4c2d431f0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-04-21 at 20:04:24 | INFO | Unzipping files
2024-04-21 at 20:04:24 | INFO | Unzipping files
2024-04-21 at 20:04:24 | INFO | Unzipping files
2024-04-21 at 20:07:44 | INFO | function starts
2024-04-21 at 20:07:44 | INFO | function starts
2024-04-21 at 20:07:44 | INFO | function starts
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding case name and user completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | time updates
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:07:44 | INFO | timeupdates complests
2024-04-21 at 20:09:27 | INFO | function starts
2024-04-21 at 20:09:27 | INFO | function starts
2024-04-21 at 20:09:27 | INFO | function starts
2024-04-21 at 20:09:27 | INFO | finding case name and user
2024-04-21 at 20:09:27 | INFO | finding case name and user
2024-04-21 at 20:09:27 | INFO | finding case name and user
2024-04-21 at 20:09:27 | INFO | finding case name and user completes
2024-04-21 at 20:09:27 | INFO | finding case name and user completes
2024-04-21 at 20:09:27 | INFO | finding case name and user completes
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:09:27 | INFO | time updates
2024-04-21 at 20:09:27 | INFO | time updates
2024-04-21 at 20:09:27 | INFO | time updates
2024-04-21 at 20:09:27 | INFO | timeupdates complests
2024-04-21 at 20:09:27 | INFO | timeupdates complests
2024-04-21 at 20:09:27 | INFO | timeupdates complests
2024-04-21 at 20:09:27 | INFO | finding case name and user
2024-04-21 at 20:09:27 | INFO | finding case name and user
2024-04-21 at 20:09:27 | INFO | finding case name and user
2024-04-21 at 20:09:27 | INFO | finding case name and user completes
2024-04-21 at 20:09:27 | INFO | finding case name and user completes
2024-04-21 at 20:09:27 | INFO | finding case name and user completes
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:09:27 | INFO | time updates
2024-04-21 at 20:09:27 | INFO | time updates
2024-04-21 at 20:09:27 | INFO | time updates
2024-04-21 at 20:09:27 | INFO | timeupdates complests
2024-04-21 at 20:09:27 | INFO | timeupdates complests
2024-04-21 at 20:09:27 | INFO | timeupdates complests
2024-04-21 at 20:09:27 | INFO | finding case name and user
2024-04-21 at 20:09:27 | INFO | finding case name and user
2024-04-21 at 20:09:27 | INFO | finding case name and user
2024-04-21 at 20:09:27 | INFO | finding case name and user completes
2024-04-21 at 20:09:27 | INFO | finding case name and user completes
2024-04-21 at 20:09:27 | INFO | finding case name and user completes
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:09:27 | INFO | finding counting casename for users documents completes
2024-04-21 at 20:09:27 | INFO | time updates
2024-04-21 at 20:09:27 | INFO | time updates
2024-04-21 at 20:09:27 | INFO | time updates
2024-04-21 at 20:09:27 | INFO | timeupdates complests
